first_name,last_name,personal_number,birthdate,county,address,phone_number,job,iban,currency,balance,latitude,longitude
Tudosia,Tomescu,6860629119138,2001-07-04,Bacău,"Intrarea Pop, Cristuru Secuiesc, 580881",0727 317 407,Sudor Geomembrana,RO07MJCL5779759957662485,KGS,36287449416,57.065625,-120.328579
Valter,Dumitrescu,6320114300811,1921-08-20,Prahova,"Soseaua Cristea Nr. 162, Babeni, 130725",0770 074 068,Chimist,RO85YWDC0851580424553728,SDG,88073508495,-57.5825725,-150.801197
Barbu,Voinea,3670806458460,1994-07-30,Maramureș,"Drumul Frusina Mocanu, Falticeni, 198318",0760 022 806,Solist Instrumentist,RO56UMIS6153908742516737,LKR,82032520651,-16.3204195,-141.071822
Sebastian,Ioniță,8570117150564,2018-10-09,Timiș,"Bulevardul Nemeș Nr. 832 Bl. 97  Sc. 56 Ap. 555, Prejmer, 337596",0256 659 434,Inspector De Specialitate Bacteriolog,RO69CYCB2815666589756094,JMD,39140132658,-62.4934345,140.322373
Adelaida,Mazilescu,6481217350646,1993-10-11,Bacău,"Aleea Voinea Nr. 53, Domnesti, 874887",0762 109 389,Director Stiintific Cercetare-Dezvoltare,RO88RGHV6840775323238490,RUB,94089484293,-67.304057,-81.830584
Despina,Niță,5670702291192,2000-11-26,Brăila,"Drumul Eusebiu Diaconu Nr. 97 Bl. 94  Sc. 85 Ap. 919, Podu Iloaiei, 491622",0257 655 017,"Operator Cracare, Deformare Si Fabricare Bitum",RO68PTEL5358749972319870,PLN,37605615730,-76.8785505,-47.561139
Antoniu,Popescu,1821128375545,1996-11-22,Gorj,"Strada Stan, Glina, 840600",0747 396 400,Controlor Trafic Aerian Dirijare Radar,RO49OIWN2618948445880004,HKD,83969296615,-35.529961,72.931781
Marinela,Oprea,2740102464691,1971-03-31,Arad,"Bulevardul Ene Nr. 26 Bl. 40  Sc. 87 Ap. 401, Adjud, 105501",0725 231 197,Manager Securitatea Informatiei (Chief Information Security Officer ,RO96EVTM6342006182504931,NPR,75351184865,37.064756,102.128125
Adelaida,Popa,2080231288374,1973-08-11,Neamț,"Strada Georgescu Nr. 64, Videle, 836789",0240 087 166,Muezin,RO79TGCR2781682862218715,PEN,5893635776,9.5621145,-39.002408
Paul,Gheorghiu,5460826156053,1941-05-29,Galați,"Drumul Mazilescu Nr. 536 Bl. 22  Sc. 19 Ap. 154, Ramnicu Valcea, 830446",0786 834 205,Sef Ferma Agricola (Agrozootehnica),RO65HGZX4868263962012106,ARS,5400944654,36.0643725,-53.152288
Varvara,Niță,2021120028099,2010-08-30,Buzău,"Soseaua Lucreția Diaconu Nr. 37, Pitesti, 892040",0764 579 201,Masinist La Umplerea Si Inchiderea Cutiilor De Chibrituri,RO88QOJE7652972810094067,DOP,27745011163,33.3362825,154.764780
Floriana,Dima,1291219162228,1935-10-31,Olt,"Drumul Cătălina Preda Nr. 79, Rasinari, 785452",0760 317 052,Fizioterapeut,RO44DRCN4526987106646479,JPY,63416062138,81.598591,80.297880
Ionuț,Dumitrescu,2721125154088,2019-06-30,Mehedinți,"Bulevardul Suciu Nr. 812, Strehaia, 947005",0788 053 716,Oficiant Telegraf,RO79NGUU3203140742522613,IQD,34373694736,-73.1466085,-134.060685
Alin,Diaconu,8860414433781,1933-01-08,Giurgiu,"Drumul Georgescu Nr. 50 Bl. 73  Sc. 50 Ap. 334, Cudalbi, 197661",0743 688 516,Mecanic Locomotiva Si Automotor,RO15WCVD5689387025713225,SOS,65599311192,50.750637,-53.951388
Profira,Suciu,8180327176303,1940-02-05,Arad,"Drumul Nemeș Nr. 384, Otopeni, 463354",0723 509 588,Incadrator Confectii,RO09GPHT3915723993584825,TJS,48292887552,-28.1492465,-19.708186
Octaviana,Marin,2590820511706,1998-05-20,Alba,"Bulevardul Niță Nr. 30 Bl. 93  Sc. 81 Ap. 433, Deta, 593113",0736 367 425,Tehnician Determinari Fizico-Mecanice,RO33YPLY5214342638227944,BSD,2877562023,73.4892395,41.856593
Răducu,Florea,2110116073430,2001-06-03,Hunedoara,"Strada Ioniță, Satu Mare, 463779",0770 192 808,Lacuitor Lemn,RO86GSXH8797125238410100,AFN,25807621635,62.356890,-30.373177
Norica,Ioniță,2910808347171,2018-03-21,Bacău,"Soseaua Popa, Sangeorz-Bai, 574299",0235 390 538,Manager Proiect,RO84YOIQ9122296872394756,SVC,59899120385,-83.153545,132.773416
Margareta,Ioniță,4750505301887,1932-03-29,Vâlcea,"Bulevardul Catinca Manole, Moinesti, 856471",0237 673 932,Cercetator In Centrale Nuclearoelectrice,RO45GGVT0274528941731380,NIO,72628382259,49.276961,120.556684
Eremia,Tudor,1240831269267,1909-08-21,Bacău,"Bulevardul Tudor Nr. 41, Valea Caselor (Dragasani), 250466",0721 730 451,Sef Birou/Serviciu Financiar-Contabilitate,RO20RUUK7043740143066889,PEN,96403335020,-72.9712355,46.417093
Ștefan,Popescu,7810807091403,1941-12-28,Teleorman,"Strada Dumitrescu Nr. 167, Sannicolau Mare, 291837",0743 238 631,Faiantar,RO22TDUL3403271192718953,BBD,87922210287,63.4756555,-130.355911
Alice,Tudor,2390619208889,2005-08-26,Dâmbovița,"Soseaua Ene, Gheorgheni, 374898",0757 903 040,Drenor Canalist,RO25CLUQ3412124871465055,KES,63733871190,-81.939389,-37.643991
Dorin,Mazilescu,3970331221161,1967-06-13,Mureș,"Soseaua Emanuel Stancu, Matca, 907825",0741 602 678,Dozator La Producerea Aglomeratului,RO03IXLF2591530632539668,CLP,79187989326,-12.436790,-97.473098
Ciprian,Nistor,6880325526255,1963-07-26,Constanța,"Strada Octaviu Ardelean, Straja, 433136",0750 465 279,Actor Manuitor De Papusi,RO58DTIV7563153428977493,GHS,2434448733,68.443374,119.832429
Valentin,Georgescu,2860224034168,1948-06-24,București,"Strada Mocanu Nr. 77 Bl. 92  Sc. 24 Ap. 306, Giarmata, 732591",0720 208 032,Etaloner,RO55NZZU1165960105536093,MVR,32813993190,-20.7536895,-50.278659
Marin,Eftimie,3731129196495,1990-06-28,Mureș,"Intrarea Florentin Nemeș, Corabia, 890888",0238 535 174,Cercetator In Horticultura,RO85YDGM3717285160069380,MDL,71526603612,52.1799005,-8.804107
Anton,Niță,2541104061456,2013-08-01,Giurgiu,"Bulevardul Pop Nr. 33, Cristuru Secuiesc, 187981",0241 260 794,Sef Modul In Industria Extractiva,RO60EKLO4929470070512779,BIF,10967581725,30.969583,-118.454145
Eva,Stănescu,5160727199357,1933-12-24,Brăila,"Intrarea Ionescu, Roseti, 729576",0262 820 295,Organizator Activitate Turism (Studii Superioare),RO46WHDW6462984460265382,TWD,42835802465,25.0369535,80.069060
Alma,Preda,2691130262011,2004-08-12,Cluj,"Aleea Ardelean Nr. 59 Bl. 70  Sc. 95 Ap. 761, Bocsa, 192595",0237 490 415,Sef Fazanerie,RO20UDYX3836650881597019,RON,72403505469,74.122493,111.331145
Daniela,Cristea,2430227093352,1966-11-07,Iași,"Strada Sinică Dobre, Sabaoani, 279849",0253 372 316,Art Director,RO27KHLR6449154912746821,ZWD,38179241950,-65.5334685,10.994180
Nicoleta,Suciu,8241206217258,1964-02-12,Giurgiu,"Strada Anaida Dobre, Moldova Veche, 942321",0755 414 279,Cadru Tehnic Cu Atributii In Domeniul Prevenirii Si Stingerii Incendiilor,RO35BNXD0640872303190956,ZWD,83494203246,-13.9566005,88.367607
Carina,Aanei,1810525189791,1960-12-20,Galați,"Drumul Stoica Nr. 606, Corund, 480793",0741 717 101,Salvamar,RO43ZHRR5368327249888905,GYD,69133765736,12.547645,146.545782
Grațian,Nistor,1991126078844,1963-11-22,Bistrița-Năsăud,"Soseaua Florea Nr. 60 Bl. 32  Sc. 22 Ap. 780, Gugesti, 948598",0730 731 417,Operator La Fermentarea Tutunului Si Fabricarea Produselor Din Tutun,RO18YNLR3972356784993703,PEN,27366996922,-22.8084135,-124.332118
Anaida,Ioniță,2141114036031,1941-08-18,Iași,"Intrarea Oprea, Talmaciu, 836096",0233 374 923,Lucrator Pentru Salubrizare Spatii Verzi,RO34ZYKP0138671935762895,UGX,45528325420,19.710867,100.262566
Ada,Georgescu,1560303517111,1943-11-02,Dâmbovița,"Strada Niță, Targu Ocna, 131109",0736 881 165,Sef Proiect Cercetare-Proiectare,RO17RLHM5958978074850459,IMP,36088173787,-40.2195215,-23.687924
Barbu,Mocanu,2711218038789,1966-03-09,Olt,"Bulevardul Barbu, Valea lui Mihai, 725809",0752 976 088,Aglomeratorist,RO90XNYY0505187025318788,NAD,43250146604,-20.138448,-39.700128
Vlad,Oprea,7890104106593,2006-10-24,Cluj,"Bulevardul Voinea, Mogosoaia, 452768",0247 059 971,Consilier Invatamant,RO47MGLV8806468705440842,IRR,33122816973,44.2717745,168.757549
Gențiana,Nemeș,3580529338808,1998-08-14,Bihor,"Intrarea Tudosia Diaconescu Nr. 41, Oravita, 471825",0264 918 743,Operator La Fabricarea Produselor Congelate De Patiserie Si Panificatie,RO89UWPD5473602595374070,NAD,10944053768,-24.020754,-124.177113
Marcheta,Oprea,6820431410155,1949-02-01,Tulcea,"Soseaua Ionescu Nr. 72 Bl. 95  Sc. 11 Ap. 401, Peris, 963668",0257 729 242,Sef Sectie,RO77XYTN3871922519372581,MRO,33623520931,26.074392,-71.315923
Lascăr,Barbu,7360801528056,1951-10-04,Caraș Severin,"Intrarea Ababei, Arad, 743802",0234 584 214,Asistent De Cercetare In Demografie,RO26QVYY4015979929604370,KES,75994036145,-85.3570205,18.804290
Iustina,Mazilescu,1181001261942,1928-05-22,Bacău,"Strada Nistor Nr. 531 Bl. 20  Sc. 84 Ap. 998, Oravita, 583436",0754 673 824,Prospector ,RO79ZTWZ5121645570204870,RWF,63534557000,6.284753,-23.140100
Dinu,Ardelean,7290213451349,2006-07-20,Olt,"Bulevardul Preda Nr. 388, Slobozia, 480787",0233 963 923,Montator Fatade Si Pereti Cortina,RO94TRGZ4579661120793561,NIO,39766333313,-50.988274,155.991871
Haralamb,Barbu,8710309053144,1973-07-21,Sălaj,"Drumul Manole Nr. 24, Cluj-Napoca, 833442",0771 345 126,Metalizator Prin Cufundare In Metal Topit,RO51NSEP9295987317501394,AMD,47459688712,-25.3062035,38.080814
Floriana,Tomescu,3770424322292,1922-02-13,Sălaj,"Bulevardul Bianca Dumitrescu Nr. 752 Bl. 36  Sc. 10 Ap. 885, Marginea, 342303",0725 271 061,"Operator Confectioner Industrial Imbracaminte Din Tesaturi, Tricotaje, Materiale Sintetice",RO10QKMP8962887149459973,BDT,60556739215,70.7260745,-161.223222
Iustin,Barbu,1221212200456,1915-12-28,București,"Strada Niță Nr. 28, Savinesti (Poiana Teiului), 146960",0750 599 040,Lustragiu,RO08KOCL5310837844601902,LBP,76198783464,33.903451,106.032361
Lascăr,Mazilescu,7730712023789,1951-09-19,Hunedoara,"Intrarea Lascăr Nistor Nr. 513, 1 Decembrie, 424724",0238 203 374,Secretar Artistic,RO19EGEN0969603065724403,UZS,24819370423,-54.6512255,122.584881
Saveta,Preda,3820503417681,2016-06-02,Ialomița,"Bulevardul Voinea, Jimbolia, 643666",021 176 8883,Inginer De Cercetare In Prelucrari Plastice Si Tratamente Termice,RO87ZGTJ4052073055341752,LRD,76719275766,29.567507,-37.553493
Adrian,Dochioiu,1060925287818,2018-03-30,Sibiu,"Strada Eftimie, Dej, 666514",0741 505 357,Confectioner Tamplarie Din Aluminiu Si Mase Plastice,RO41ZDCK6752953006846461,BOB,92667513942,17.3733915,18.083043
Nae,Tudor,6980505285248,1996-09-06,Olt,"Soseaua Adam Ene Nr. 53, Bacau, 259265",0241 561 154,Dezvoltator De E-Learning,RO91KAPL7399805780732894,ILS,82465501336,14.223540,-110.237291
Marta,Mocanu,7160907528723,1917-12-31,Hunedoara,"Strada Stănescu Nr. 500 Bl. 95  Sc. 64 Ap. 569, Cisnadie, 855705",0239 474 531,Confectioner Lampi Cu Vapori De Sodiu,RO73ODSZ8319866217516240,ILS,14701296104,24.539817,128.298852
Iulian,Cristea,2400425239989,1964-03-04,Satu Mare,"Aleea Gheorghiu Nr. 618 Bl. 21  Sc. 78 Ap. 295, Cisnadie, 851113",0235 992 808,Machetist,RO95HHFY9974852273995469,LSL,97288019890,8.8766375,131.267844
Sandu,Stancu,8340923110262,1982-08-15,Mureș,"Intrarea Nemeș, Viseu de Sus, 963369",0249 977 280,Cercetator In Microbiologie-Bacteriologie,RO36QVWU0187149010807145,KMF,94864956324,-4.876432,-60.438530
Antonie,Ionescu,2560928298271,1949-01-04,Neamț,"Intrarea Dobre Nr. 39, Gilau, 426675",0734 239 476,Sef Agentie Reclama Publicitara,RO93PEUC1820434533418523,MKD,35958856574,-86.0508715,-38.668251
Ludovic,Preda,5251104519726,1942-09-02,Satu Mare,"Soseaua Ardelean Nr. 663, Ruscova, 307564",0236 317 393,Inginer Constructor Instalatii,RO58ASUM9646322179069246,VUV,42237661173,-65.835890,143.708126
Anastasia,Manole,8950823230440,1992-06-19,Mureș,"Bulevardul Mocanu, Valea Caselor (Dragasani), 374646",0237 821 246,Operator Prompter,RO11HVCB2217101657710804,SGD,25694811729,86.259220,55.039567
Giorgian,Tabacu,6700129256933,1917-01-10,Brașov,"Soseaua Nemeș Nr. 20, Simleu Silvaniei, 687541",0786 415 661,Director Unitate Bancara Operationala/Director Adjunct Unitate Bancara Operationala,RO88WLBR7383882020725522,KES,1991528222,23.087377,135.896849
Eufrosina,Aanei,4790618293507,1950-07-18,București,"Bulevardul Lucrețiu Gheorghiu Nr. 408, Dabuleni, 892897",0741 628 178,Muncitor In Taieri Structuri Cu Scule Diamantate,RO66ZHBQ3861135344864724,AZN,75504745899,6.849858,-76.217267
Lăcrămioara,Diaconescu,1421114069541,1955-12-14,Mehedinți,"Bulevardul Pușcașu Nr. 574, Oravita, 752924",0766 690 706,Consultant Bugetar,RO52FPXD9528836447968935,GTQ,29606246833,-42.4171275,71.431807
Angela,Dinu,5490420053321,1995-08-08,Botoșani,"Aleea Pușcașu, Curtea de Arges, 386710",0239 526 612,Meteorolog Aeronautic Prognozist,RO90YCII1486617751651542,LKR,20987435490,-11.510610,60.300033
Iurie,Nistor,5350217429203,2022-09-21,Caraș Severin,"Drumul Stănescu Nr. 225 Bl. 47  Sc. 22 Ap. 426, Talmaciu, 727150",0765 425 480,Cercetator In Metalurgia Neferoasa,RO35YHKW3143983605969109,TND,48218460245,-85.3465715,67.212825
Teona,Marin,5941201016682,1919-10-21,Teleorman,"Soseaua Nae Marin Nr. 100 Bl. 42  Sc. 63 Ap. 432, Magurele, 608866",0233 377 294,Inginer De Sistem In Informatica,RO14DDBV4335889983978665,KGS,83456757517,-86.3718085,-136.890803
Paul,Ababei,3491107124494,1948-04-27,Dâmbovița,"Drumul Tabacu Nr. 51, Cornetu, 837711",0246 225 129,Mecanic Locomotiva Si Rama Electrica Metrou,RO39OUHA3945203184945737,XOF,60184235020,12.740541,-27.143713
Nidia,Nistor,8390213189980,1989-09-01,Mureș,"Aleea Oprea, Bailesti, 748810",0258 436 072,Operator La Confectionarea Industriala A Manusilor Din Piele,RO93TFPY6394109246283772,KPW,68331076157,39.489946,90.723662
Severin,Barbu,2140621354508,1967-11-03,Dâmbovița,"Drumul Mazilescu Nr. 90 Bl. 27  Sc. 88 Ap. 515, Bacau, 998460",0771 241 877,Asistent De Cercetare In Controlul Calitatii Produselor Alimentare,RO28IIFF7766841843874113,LRD,88238611825,39.8555475,1.798413
Teodor,Stoica,7371112394361,1914-11-19,Prahova,"Soseaua Ene Nr. 40, Savinesti, 806839",0730 156 981,Confectioner Produse Pirotehnice,RO72ABCD6742896506127364,AWG,94843905113,-6.059676,38.110155
Zaharia,Ardelean,2521212453951,1920-01-02,Dolj,"Strada Popa Nr. 78 Bl. 94  Sc. 17 Ap. 159, Fagaras, 864678",0785 316 882,Secretar Platou,RO25FEXX8400315670687683,GEL,97251755220,-56.276269,65.802037
Ștefania,Ene,3390529367328,1998-06-28,Mehedinți,"Bulevardul Marin Nr. 28, Tufesti, 704470",0747 243 708,Asistent De Cercetare In Utilaje Si Instalatii Portuare,RO12HESJ0211075914559621,VND,47823194418,18.290643,-85.389684
Claudiu,Dima,1960920011781,1939-11-02,Sălaj,"Strada Alexandra Diaconu Nr. 97, Bolintin-Vale, 122461",0241 400 956,Tehnician Chimist,RO41ENHO7004819502004865,BWP,82434534223,-40.1415795,1.180927
Sabrina,Voinea,8460918155958,1960-08-26,Olt,"Soseaua Codruța Nistor, Corabia, 771886",0246 336 655,Operator La Masini De Brichetat Span,RO11QWWR3691054418720267,LKR,24063682639,-38.192473,-121.231984
Nicolaie,Florea,1400808086163,2013-06-20,Cluj,"Bulevardul Stana Popa Nr. 575 Bl. 89  Sc. 40 Ap. 909, Campulung, 966773",0723 709 555,Inginer De Cercetare In Centrale Nuclearoelectrice,RO69NGHK0205780079671775,GYD,33366638935,-7.9418625,-69.110863
Victoria,Suciu,1341018526852,1919-03-27,Satu Mare,"Intrarea Niță, Ploiesti, 362116",0239 304 607,Coordonator Productie Film,RO55QQOS5472085974127052,KPW,49109550444,-46.878200,45.809293
Dorian,Nistor,5570114248247,1975-11-15,Covasna,"Bulevardul Tomescu Nr. 41 Bl. 65  Sc. 27 Ap. 785, Caracal, 392221",0248 855 704,Teleoperator Financiar-Bancar,RO54BSIJ5271389831916114,CHF,69747563381,-80.947509,132.687729
Cristian,Ionescu,5910113265450,1926-10-23,Galați,"Intrarea Anica Niță Nr. 64 Bl. 57  Sc. 68 Ap. 660, Cudalbi, 737630",0722 444 013,Tehnician Gestiune Salariala,RO13IHZQ2487067660077891,CLP,30594032022,-78.485043,84.417314
Alina,Dobre,5430417084477,1955-04-03,Bistrița-Năsăud,"Drumul Pușcașu, Corabia, 485569",021 769 9618,Specialist In Activitatea De Lobby,RO63KDRX5918806298038243,LYD,85298379990,57.9664835,-6.008321
Alexandru,Toma,3901115133991,2005-10-28,Dolj,"Bulevardul Laurenția Ababei Nr. 48 Bl. 10  Sc. 72 Ap. 969, Bistrita, 446284",0720 247 058,Operator Emisie-Receptie,RO27OCXV8260967438856298,BOB,25330376564,79.3138395,-152.660829
Edgar,Barbu,7051121451607,1972-06-23,Botoșani,"Bulevardul Florea Nr. 442, Otopeni, 415126",0721 712 228,Tratamentist Produse Din Azbociment,RO13TCMF1048695469221614,CUP,61318328264,40.863377,15.163639
Aurica,Suciu,4211222339822,1923-06-15,Teleorman,"Drumul Marcel Nemeș Nr. 40, Rasnov, 670656",0262 192 450,Sef Birou/Serviciu Financiar-Contabilitate,RO37VYGC5737105327598286,CZK,42361417549,33.145261,73.365060
Caterina,Ene,7220530193627,2014-03-27,Argeș,"Drumul Ionescu, Oradea, 295517",0785 725 268,Operator Masina Contabilizat,RO51WWZY3817943963222710,AZN,64797311968,5.987966,164.121444
Raul,Oprea,3800231467112,1999-03-15,Bacău,"Aleea Darius Toma Nr. 170, Reghin, 882664",0761 520 180,Ilustrator Muzical,RO28BXUW6206692505174192,ALL,1854692167,88.790335,134.970877
Marcela,Suciu,7780914250593,1965-08-03,Covasna,"Intrarea Pușcașu, Onesti, 167621",0763 738 903,Auditor Financiar,RO74PIYC6188110423907062,LRD,74975682034,2.2861165,24.410762
Ancuța,Aanei,1131210326524,1914-01-09,Galați,"Strada Stancu, Fagaras, 393625",0730 821 094,Confectioner Protectii Si Obiecte Anticorozive,RO06IDQJ2730469754077281,BIF,81720016954,48.5107395,66.717439
Aura,Barbu,6010504271633,1927-01-13,Iași,"Bulevardul Alma Dochioiu Nr. 62, Tudora, 875448",0260 256 078,Reglor La Masini De Prelucrare Mase Plastice,RO28UJVT3853260007472813,PLN,4563500221,15.853794,-149.932491
Adi,Diaconescu,3270203285331,1968-11-17,Botoșani,"Soseaua Dima Nr. 843, Pipera (Voluntari), 349340",0762 344 534,"Confectioner De Bete, Lansete, Manere Si Dopuri Pentru Unelte De Pescuit",RO07ZROB7451877398764470,BTN,60070408609,-28.0489435,160.201975
Vanesa,Ababei,1331221367040,2002-05-01,Caraș Severin,"Strada Nora Stănescu Nr. 329, Bolintin-Vale, 986238",0262 400 003,Inginer De Cercetare In Comunicatii,RO83PMAX8633901836649274,BSD,24181558125,-33.941461,77.321835
Dafina,Cristea,8790720180942,1951-05-23,Argeș,"Soseaua Ioniță, Cajvana, 125256",0788 746 722,Organizator Targuri Si Expozitii,RO24QBGB2357632282151768,DZD,3259080373,14.858979,-1.173802
Mihai,Niță,1591115389595,1922-01-06,Maramureș,"Intrarea Olivia Oprea Nr. 890, Baicoi, 707662",0258 649 279,Editor Imagine,RO03BLAE0427663913379055,CHF,89255319756,9.028651,177.497932
Zenovia,Ioniță,1200324383179,1927-12-30,Mureș,"Bulevardul Dinu Nr. 214, Copsa Mica, 898540",0234 401 821,Strungar La Masini De Strunjit Roti Cai Ferate,RO56HIPG8335397271149600,BSD,67483565769,-40.0564305,-142.287181
Salomea,Popescu,5030827112949,1929-03-29,Arad,"Drumul Pop Nr. 928 Bl. 17  Sc. 51 Ap. 613, Harsova, 744882",0764 499 590,Manager Al Organizatiei Culturale,RO60RCAJ0857512481805118,KZT,41483337952,81.820164,-17.084351
Rafael,Albu,7840609271654,1998-07-08,Bistrița-Năsăud,"Bulevardul Camelia Nistor Nr. 73, Targu Neamt, 935904",0742 612 323,Operator La Tragere Si Munitie,RO59MJFT0427057673398486,TJS,8520553924,-34.520769,-65.879541
Sever,Ardelean,5480625117714,1979-05-02,Ialomița,"Intrarea Stănescu Nr. 70, Rosiori de Vede, 334988",0711 959 986,Tehnoredactor,RO73TQPC4668408589887200,IMP,81488693279,-83.9979085,-31.957437
Simona,Toma,7321113098592,2013-10-10,Mehedinți,"Aleea Manole, Curtea de Arges, 183630",0256 313 857,Asistent De Cercetare In Masini Si Echipamente Termice,RO37PBFJ7016780766752247,JPY,73997985596,25.4830035,28.458023
Axinte,Popescu,5081202161949,1952-11-19,Brăila,"Soseaua Albu Nr. 366, Motatei, 970976",0248 415 876,Inspector De Specialitate Biochimist,RO48PDTM9240271069636208,SCR,14135096519,23.3084205,17.821284
Henrieta,Stoica,1771103011460,1982-12-08,Arad,"Aleea Georgescu Nr. 47, Bals, 346570",0753 279 756,Electromecanic,RO54KWBX4509884543273546,GIP,55051463144,35.281284,-172.013167
Simona,Toma,6680304244184,1989-09-21,Bihor,"Drumul Dobre Nr. 662, Balotesti, 528535",0720 010 893,Calugarita,RO21ZQUK0135016478496901,VUV,15304979580,28.7393025,85.475179
Marcela,Eftimie,7100910212251,1929-10-02,Sibiu,"Strada Dobre, Matca, 258356",0780 251 558,Inginer Mecanic Masini Instalatii Miniere,RO39DDYF5707659443450713,GGP,10705670866,-84.5402785,-119.302920
Georgian,Niță,2510327111914,1944-09-26,Călărași,"Intrarea Georgescu Nr. 326 Bl. 84  Sc. 22 Ap. 519, Teius, 795259",0231 816 990,Sef Obiectiv Servicii De Securitate,RO06XSTH6442169355443183,EUR,96110482489,-47.582568,136.822490
Eva,Barbu,2130305388823,1943-04-16,Vaslui,"Drumul Niță Nr. 91 Bl. 17  Sc. 74 Ap. 556, Titu, 201299",0727 304 242,Inginer De Cercetare In Constructii Hidrotehnice,RO59GSKU4049733426125076,IMP,69089550537,50.3714495,-0.447282
Remus,Stancu,5001222443859,1951-05-23,Neamț,"Soseaua Dobre, Ineu, 812951",0235 750 271,Comisioner,RO88IGLI5533936828544299,UYU,98456421448,-59.4970875,169.848611
Janeta,Popa,1990307211095,1982-07-28,Suceava,"Bulevardul Stancu Nr. 106 Bl. 98  Sc. 50 Ap. 543, Cornetu, 735308",0260 686 808,Fasonator Produse Ceramice,RO23ZFER1180024514315281,SEK,27822010081,87.4036745,82.161175
Anghelina,Dima,1590510462939,1972-11-17,Covasna,"Intrarea Aanei Nr. 656, Turda, 786301",0256 331 999,Gestionar Custode Sala,RO09LXOW8233183278584813,ISK,32618091259,48.9403075,-17.026087
Leordean,Stănescu,4400226462855,2020-10-12,Neamț,"Soseaua Eustațiu Nemeș Nr. 912 Bl. 68  Sc. 32 Ap. 408, Satu Mare, 812010",0734 799 031,Proiectionist,RO03RCDI6250147251993252,USD,93207676266,-80.076509,-62.224814
Tatiana,Ene,8720214048812,1974-01-27,Dolj,"Drumul Stănescu Nr. 491 Bl. 59  Sc. 96 Ap. 192, Pechea, 791480",0720 618 146,Sef Casierie Centrala,RO21CSBS8827206278135227,SRD,38014949748,36.660806,-133.459712
Vasile,Dobre,7231116185201,2004-01-08,Arad,"Aleea Stoica Nr. 392, Barbulesti, 689918",0261 376 274,Vanzator De Ziare,RO48RCXD8125109487026611,PLN,78818902095,-36.987946,19.316690
Floare,Pop,7680919311387,1921-10-12,Ilfov,"Drumul Eftimie Nr. 648 Bl. 99  Sc. 92 Ap. 521, Ianca, 454278",0723 789 877,Izolator Hidrofug,RO83VOEK4939542291624078,HTG,7404103356,85.7512225,-41.894464
Răducu,Stancu,2860423014555,1987-04-09,Olt,"Soseaua Voinea, Draganesti-Olt, 191201",0761 335 657,Director General Institut National De Cercetaredezvoltare,RO74ZVWI8897844448002635,BWP,53324658080,27.633294,-135.907865
Ana,Dumitrescu,3221001256478,1954-10-07,Vaslui,"Bulevardul Sorin Albu Nr. 791, Ramnicu Valcea, 887670",0251 975 129,Sef Laborator Criminalistica,RO67YFHG6539065228884888,MMK,36985368428,75.197821,174.161458
Tatiana,Toma,2140812189838,1911-05-31,Sibiu,"Intrarea Martin Pușcașu Nr. 13, Campia Turzii, 370387",0731 639 926,Director General Adjunct Societate Comerciala,RO36WNJZ1167378916206870,BWP,45738557595,9.5532475,33.536887
Amza,Preda,7930128280105,1911-11-06,Caraș Severin,"Bulevardul Miruna Stoica Nr. 337 Bl. 84  Sc. 42 Ap. 911, Curcani, 380174",0750 295 245,"Operator Chimist La Fabricarea Lacurilor, Vopselelor Si Uleiurilor",RO08UDVZ1766949232462631,TTD,46911003345,22.801937,72.382969
Voicu,Oprea,1240914339826,2008-03-10,Argeș,"Intrarea Clementina Florea, Darabani, 544673",0250 612 978,Preparator Amestec De Invelis,RO17XJXD4078739808705402,KHR,85736501137,-67.6202985,10.548637
Paula,Manole,8680203230806,1931-11-22,Alba,"Strada Diaconescu Nr. 330, Dumbravita, 571395",0244 263 031,"Referent De Specialitate Inginer Textile, Pielarie",RO46MUKG4998628785636752,VND,58470470433,-9.9680195,-120.583519
Stan,Toma,7090630185631,2021-12-04,Ialomița,"Aleea Horea Barbu Nr. 890, Straja, 353862",0756 128 294,Electrician Nave,RO42RLPF1997715234244684,LRD,14335375747,-73.844897,171.457831
Alexandra,Manole,2440321307425,1908-12-12,Iași,"Soseaua Pop Nr. 616, Topoloveni, 795564",0759 677 923,Asistent De Cercetare In Centrale Hidroelectrice In Ingineria Mediului,RO69EVXE2608614031912730,CUP,97416707676,-83.9396245,-115.183710
Clementina,Ababei,4381026221655,1945-05-01,Botoșani,"Intrarea Ardelean Nr. 80, Braila, 870081",0746 995 671,Grafician Calculator (Studii Medii),RO82QNFU2436885890665319,NIO,58372431716,-17.889848,102.031056
Radu,Niță,2660911415859,1982-03-19,Teleorman,"Aleea Manole, Ianca, 844640",0771 060 592,Oglindar,RO61EWFY1094091949386861,LAK,9463591559,19.264679,140.192952
Rafila,Ionescu,2020808247256,1911-06-26,Vaslui,"Bulevardul Dima Nr. 35, Rucar, 173601",0720 855 008,Director Sucursala,RO89EVRP7609269717975674,DOP,53023459679,-46.6733375,130.757066
Mitruț,Ene,2911014053252,1978-03-15,Brăila,"Strada Barbu Nr. 419 Bl. 49  Sc. 14 Ap. 200, Balan, 962310",0745 936 488,Sef Departament Banca/Sef-Adjunct Departament,RO23ZDDK2003038848436705,PHP,78320797614,-33.7994845,-161.061886
