personal_number,birthdate,phone_number,job
8171102525152,1998-01-01,0742 993 836,Director Braserie
8650308063444,1926-09-01,0734 352 212,Cercetator In Statistica
1061105269033,2008-08-16,0233 243 408,Expert Receptie Investitii Industriale
1270719080411,1953-05-09,0257 318 618,Agent Transporturi Externe
6790814338891,1975-01-09,0253 333 653,Plantator Elemente Electronice
7060109218204,1966-06-13,0735 189 923,Agent Servicii Client
2520909459772,2006-01-27,0733 769 777,Docher Instalatii De Incarcare/ Descarcare La Bordul Navei Si Cheu
1031212155057,1975-07-10,0256 973 929,Inspector Coordonator Daune
4450505435451,1998-02-09,0238 801 582,"Confectioner De Bete, Lansete, Manere Si Dopuri Pentru Unelte De Pescuit"
1790102405998,1952-08-08,0741 693 986,Tehnician Instalatii In Constructii
6890916423201,1980-07-02,0756 003 311,Operator La Prelucrarea Maselor Plastice
5890926014498,1954-05-03,0239 202 656,Operator Canelator
6361120306085,2005-01-06,0753 848 154,Filolog
6560402326271,1987-07-15,0253 852 819,Operator La Prepararea Branzeturilor
4940122209783,2023-01-08,0233 901 873,Director Magazin
1271209161232,2001-01-14,0249 289 828,Tehnician De Scufundare
1230328035426,1983-12-20,0784 331 555,Tehnician Machetist
1720202264743,1965-07-13,0726 830 319,Cuptorar Lianti
6851119315323,1930-09-07,0723 900 241,Incadrator Confectii
8991113363631,1995-03-19,0755 183 136,Comandant Unic Aviatie
6590318335288,1941-05-12,0244 326 212,Ofiter Securitatea Informatiei (Security Officer 
6680518180628,1950-01-08,0755 669 915,Intermediarist Film Desene Animate (Studii Medii)
1641210456459,2020-08-09,0746 456 408,Instructor Sportiv
2130609346996,1976-06-29,0234 282 404,Instructor-Educator In Unitati De Handicapati
6000506412541,1954-07-25,0266 125 598,Expert Tehnic Extrajudiciar
7321021458280,1913-11-30,0251 913 102,Proiectant Arhitect
8300107058999,2017-09-27,0265 810 258,Referent De Specialitate Inginer Mecanic
8920319512310,1957-10-01,0745 936 244,Proiectant Sisteme Informatice
7060826072927,1936-12-12,0233 651 870,Inspector Sanitar Sef
5120712011067,2000-10-25,0767 997 898,Art Director
6991108232070,2020-11-20,0767 721 573,Fazanier
3221104231417,1965-10-06,0739 107 860,Radiotelegrafist
5280823049335,1993-01-24,0723 772 271,Sef Casierie Centrala
5380809463654,1973-03-06,0735 191 387,Sef Laborator Informatica
4320108260511,1974-01-20,0744 434 091,Funicularist
4851001380259,1927-04-29,0736 622 245,Operator La Masini De Brichetat Span
6290626104447,1935-01-03,0767 073 131,Confectioner Tambur Filigranare
1710909070021,1963-12-23,0739 303 543,Casier Valuta
4820706343461,1926-09-01,0231 315 046,Patiser
1930605402191,1911-06-16,0255 211 533,Ramar Poleitor
5581223414525,1986-11-26,0765 015 899,Inginer De Cercetare In Automatica
2460214233211,1910-10-07,0243 248 560,Brosator
2840811256087,1952-10-08,0749 370 129,Dozator Prelucrare Cauciuc
5360217338018,2013-04-30,0246 063 649,Ingrijitor Caini In Adaposturi
3450208161263,1942-10-18,021 775 1690,Ministru De Stat
3020525441901,1996-06-16,0734 696 232,Referent De Specialitate Inginer Industria Alimentara
5660312250223,1918-09-26,0769 934 233,Cercetator In Medicina Traditionala
6820206340750,1978-07-27,0766 160 558,Editor Coordonator Programe Tv
6200209219041,1910-03-10,0768 089 408,Frezor-Montator Clisee
2010602098915,1970-11-03,0239 572 890,Asistent Regizor Emisie
3430702469566,2013-04-20,0788 631 869,Secretar De Emisie (Studii Superioare)
2580725355406,1942-12-01,0741 311 907,"Centrator, Debordator Piese Optice"
4450813134731,2014-07-11,0749 996 369,Gravor Placi Metalice
3861227268191,1957-08-14,0252 543 533,"Sef Birou Organizatie Politica, Obsteasca, Umanitara"
7491105314131,1913-05-04,0257 966 720,Proiectant Inginer Mecanic
5581123071291,1909-05-04,0254 820 432,Ucenic
3930717120453,1957-01-12,0233 396 516,"Inginer Constructii Civile, Industriale Si Agricole"
3851231065251,1967-01-28,0266 380 510,Salvator Montan
8730613340635,1968-08-05,0727 244 024,Inginer Autovehicule Rutiere
2500427272477,2011-06-10,0762 542 275,Tehnician Incercari Componente Vehicule/Grup Motopropulsor/Optimizare Energetica/Sisteme De Masurare
7650602297031,1964-12-26,0728 280 892,Expert Pedolog
7440405526315,2021-01-21,0741 161 366,Coordonator Productie Film
8130319359273,1942-09-14,0747 914 416,Tehnician Silvic 
6660325178899,1926-04-03,0262 267 341,Referent De Specialitate Invatamant
1020317512630,1928-03-30,0761 502 193,Referent De Specialitate Inginer Tehnologia Celulozei Si Hartiei
8991016190826,1963-04-12,0745 197 015,Agent Postal
3391127465274,1990-08-21,0788 965 122,Prelucrator De Topituri La Semiautomate
1760609273261,1961-03-26,0736 709 694,Cercetator Roboti Industriali
4631010195786,1974-08-17,0733 308 820,Bobinator Aparataj Electric
4280801158644,1984-03-10,0756 835 993,Operator La Masini De Tricotat Rectiliniu
3051228459738,1960-05-07,0236 029 276,Sef Agentie Reclama Publicitara
2140424433216,1942-01-08,0747 548 163,"Sef Centru Dezinfectie, Deratizare Si Dezinsectie"
3000111088430,2023-12-04,0263 100 329,Inspector-Sef Inspectia Meteorologica Nationala
8330726090154,2014-03-29,0738 808 317,Inspector General Scolar
6071121439611,2014-03-14,0788 408 742,Expert Local Pe Problemele Romilor
3060209221504,1931-03-04,0233 805 698,Bufetier
7360401237096,1997-08-15,0739 608 243,Operator Control Nedistructiv Cu Lichide Penetrante
8991214169381,1973-06-12,0726 085 281,Electrician De Mina
7140329224034,1946-07-16,0237 971 192,Asistent De Cercetare In Energetica Industriala
8760304086966,1929-11-10,0730 215 444,Operator Portuar Expeditor
7050724081116,1992-07-23,0761 388 777,Designer Instructional
8471103420021,1972-05-21,0726 730 052,Referent De Specialitate Inginer Agronom
5861028517065,1957-04-16,0730 666 779,"Maistru Intretinere Si Reparatii Masini-Unelte, Utilitati, Service, Prototipuri"
5671119310035,1963-12-06,0249 165 425,Asistent Comercial
7890119054814,1949-12-23,0751 144 904,Prelucrator Fire Si Tesaturi Din Fire De Sticla
7800303447767,2014-02-06,0784 032 565,Inginer De Cercetare In Agromontanologie
8260213386887,1911-07-24,0255 836 040,Calcatoreasa Lenjerie
8291205362311,2009-08-11,0267 174 731,Meteorolog-Sef
5671019388512,1920-03-22,0750 225 065,Meteorolog Previzionist
2440311405666,1925-01-02,0772 376 474,Administrator Financiar (Patrimoniu) 
5270216258754,1949-09-15,0738 854 555,Specialist In Activitatea De Lobby
3410418174071,2006-03-28,0755 059 679,Operator La Valorificarea Subproduselor De Abator
7140831063368,1923-10-03,0259 229 729,Cercetator In Medicina Generala
2351013018852,2022-10-05,0748 269 271,Consilier/Expert In Meteorologie Si Domenii Conexe
5380904362211,2014-06-14,0242 004 443,Profesor De Cultura Fizica Medicala
6471123387184,1914-04-29,0264 366 569,Functionar Economic
4580120083863,1994-05-12,0764 599 987,Responsabil De Mediu
7620514344231,1974-12-04,0770 697 213,Butafor
1670508411179,2021-04-19,0249 561 622,"Pregatitor, Montator, Reparator Ite, Cocleti, Lamele, Spete"
4980913181626,1983-06-01,0734 093 453,Manager Relatii Cu Clientii Bancii/Societate De Leasing
5201131293137,1975-03-17,0742 413 550,Expert Inginer Silvic
8141207406609,1948-09-21,0754 716 903,Operator Canelator
6010905337581,2018-07-09,0747 833 367,Tehnician Aparate Electromedicale
6050313021636,1971-02-08,0772 753 833,Manager In Domeniul Sigurantei Alimentare
6500111419672,1929-11-18,0757 237 459,Conducator De Motocicleta
3360506220774,1932-01-20,0771 018 978,Sufleur Teatru
1610831214641,1932-06-27,0753 799 616,Cartator Presa
6420712406383,1910-05-10,0265 681 800,Functionar Informatii Clienti
8410630293330,1975-03-26,0764 397 286,Fiziokinetoterapeut
2190830112275,1955-01-13,0743 682 179,Sef Serviciu/Sef Birou/Banca/Societate De Leasing
2210507242936,1992-04-15,0770 468 474,Maistru Mecanic Masini Si Utilaje Pentru Constructii
8780631360611,1952-11-21,0769 538 158,"Asistent De Cercetare In Constructii De Cai Ferate, Drumuri Si Poduri"
5270106218350,1919-02-03,0731 591 046,Programator
7560204084104,1988-01-02,0733 320 468,Defectolog
8320203129888,1957-04-22,0745 161 058,Tehnician Homeopat
8141127455520,2008-09-18,0233 589 132,Asistent De Cercetare In Sociologie
1120105367555,1991-05-04,0238 426 575,Baci Montan
1550422192894,1999-03-14,0759 165 900,Cercetator In Tehnologia Compusilor Macromoleculari
4160321124792,1977-04-01,0743 447 589,Operator La Masini De Amestecare (Produse Chimice)
7230312529663,2022-05-30,0758 840 378,Dispecer Retea Distributie
5931130326116,1926-10-31,0729 715 788,Magistrat-Asistent
2431211222358,1936-11-16,0768 756 125,Subinginer Mecanic Utilaje Pentru Industria Lemnului
4260309168390,1984-08-27,0785 582 961,Medic Igienist
2401110144705,2009-01-21,0233 501 778,Lucrator Bucatarie (Spalator Vase Mari
5400716425522,1944-03-01,0748 083 990,Inspector De Specialitate Biochimist
3840419100375,1942-05-07,0231 404 632,Dirijor Cor
7131122424072,1955-08-29,0240 935 920,Cercetator In Matematica Aplicata
5640530363489,2007-03-13,0236 799 666,Gradator Vase Si Aparate De Laborator
8700103358962,2011-11-14,0723 631 566,"Ghid De Turism Montan, Drumetie Montana"
8040720213841,2004-03-18,0750 774 296,Lutier
6771028029905,1929-08-30,0732 972 855,Sef Tura Comanda Vagon De Dormit 
2840411304351,2021-07-02,0247 454 333,Director De Hotel
3190713338769,1983-12-07,0755 743 571,Inginer De Receptie Si Control Aeronave
7681229015728,1980-02-12,0739 561 782,Masinist La Masini De Ambalat
2951012110524,1963-10-22,0727 756 909,Inginer De Cercetare In Masini Si Instalatii Mecanice
3820506172023,1997-07-23,0725 299 846,Agent Turism De Afaceri
3840615510588,1980-09-17,0245 122 720,Snuruitor Jaqard
2131120016914,1918-06-13,0262 867 368,Preparator Ppf
8721224249131,1913-03-07,0234 196 209,Operator Presator Tesaturi Textile (Storcator Textile)
1320402362711,1993-04-25,0755 372 713,Filator
5560316210149,1952-04-20,0727 652 508,Mecanic De Exploatare In Zootehnie
8851214448345,1982-08-25,0728 520 160,Masinist Pentru Prefabricate Din Beton Si Beton Armat
4880616147098,1998-08-23,0729 302 439,Pregatitor-Lansator Confectii
5780414386881,1954-07-27,0243 782 725,Cantaragiu
7560907300781,1963-09-03,0740 030 100,Presator Metale La Rece
4410812274017,1932-12-16,0252 293 360,Parinte Social
1060910291209,1974-08-12,0264 822 093,Referent De Specialitate Hidrogeolog
8861021345511,1976-01-24,0258 759 700,Inspector Telegrame
2160817117454,2020-03-14,0785 166 618,Pedagog Scolar
4891217529869,1957-09-17,0245 289 735,Broder La Gherghef
3061017339969,1923-11-07,0252 918 896,Inscriptioner Pe Produse De Sticla Si Ceramica
8020711113926,1994-05-30,0759 784 306,Supraveghetor Noapte (Invatamant)
2311030213852,2016-09-21,0727 077 457,Reglor Benzi Montaj
6440818265569,1909-07-31,0788 336 286,Spalator Geamuri Si Parbrize
1150812382638,2010-05-22,0723 724 543,Sef Birou/Serviciu Administrativ
4920620127874,1940-04-17,0263 268 797,"Confectioner Bidinele, Pensule, Perii"
7880517019022,1972-03-17,0751 704 858,Sef Statie Comunicatii Prin Satelit
3260419190416,1915-12-15,0242 326 005,Vicepresedinte Institutie Publica
7540318296984,1917-07-01,0252 191 859,Scuturator In Si Canepa
6560311445120,1958-03-09,0245 989 576,Maestru De Ceremonii
3150520376614,1938-05-06,0239 778 980,Inspector Sanitar
3561011138947,2022-10-24,0771 913 072,Manager Farmacii
2160120255498,2011-08-04,0234 040 079,Maistru Tipograf
6190614112072,1959-04-27,0241 626 957,Inginer De Cercetare In Stiinta Materialelor
3680126514702,2006-12-26,0254 626 338,Culegator La Masina De Perforat Programe Pentru Masinile De Turnat Text (Monotastor)
3861202119931,1943-11-25,0752 912 134,Croitor Pentru Incaltaminte Si Articole Tehnice Din Cauciuc
6950214280350,1994-11-26,0242 502 863,Director De Arhiva Banca
5410925367772,1935-12-11,0772 649 466,Operator La Masini De Inscriptionat
6190430080721,1934-10-05,0733 466 642,Specialist Sistem Asigurari
4400319528380,2001-06-03,0242 030 187,Agent Evidenta Si Plata A Ajutorului De Somaj
3650106389986,1917-03-30,0731 315 553,Oficiant Presa
1380601363880,2006-06-16,0721 763 071,Controlor Calitate
2720620190286,1914-11-17,0765 841 734,Consilier Inginer Petrolist
4581204067166,1940-07-08,0785 290 299,Velator-Matisor
6360929224228,1978-12-18,0767 221 285,Mamos Porcine
4670919207542,1996-04-13,0745 989 418,Coafor
1820229184782,1967-02-16,0732 390 129,Agent Literar
3591223027049,1969-09-11,0260 232 444,Montator Elemente Prefabricate Din Beton Armat
6550425457043,1991-12-12,0749 150 726,Inspector De Specialitate Zoolog
5990429192549,1948-03-22,0237 443 502,Reparator Aparate Foto
6091104108755,1925-01-14,0753 569 260,Sef Departament Banca/Sef-Adjunct Departament
5460427053991,2023-11-08,0245 155 951,"Sef District, Centru, Ocol Silvic"
1611124075785,1997-12-30,0259 082 706,Consilier Organizatie Politica
1880710151571,1960-08-26,0759 395 283,Tehnician Asigurarea Calitatii
6271130240991,2002-01-22,0269 347 104,Asistent De Cercetare In Prepararea Substantelor Minerale Utile
3491022278314,1974-08-09,0763 587 921,Crescator De Pasari
8810718350103,1987-12-11,0780 470 631,Referent De Specialitate Tir Si Tranzite (Studii Superioare)
4790620377161,1959-12-25,0720 514 798,"Referent De Specialitate Inginer Textile, Pielarie"
3970213142295,1926-07-27,0772 264 185,Sef Sectie
3830601019771,1991-01-13,0262 572 992,Inginer De Cercetare In Ingineria Sanitara Si Protectia Mediului
1420210133463,2017-09-02,0732 158 833,Controlor Calitate
3300613332587,1924-05-15,0721 625 321,Manager Al Sistemului De Management Al Riscului
5930801295859,1989-03-05,0742 408 878,Asistent Medical (Studii Superioare)
2600818082334,1961-09-11,0238 317 938,Formator Slefuitor Produse Stratificate
4161128117902,1941-05-15,0723 857 008,Infirmier/Infirmiera
7860326511150,1989-11-18,0785 281 056,Inspector Iscir
2211003142183,1942-10-30,0771 045 097,Cercetator In Statistica
2501018301861,2014-04-14,0743 885 309,Inginer Electromecanic Scb
5750326244561,1990-09-28,0254 368 959,Agent Salvare Aeroportuara Si Instalatii De Stinsincendii
6851202409239,2019-08-01,0255 950 387,Operator La Fabricarea Mezelurilor
6740129170628,1929-12-22,0757 904 385,Conducator Activitate De Transport Rutier
8471006337097,1977-01-10,0236 924 614,Bucatar-Sef
6120730290975,1960-12-16,0772 853 043,Montator Acumulatori
7741208275720,1998-06-12,0780 261 120,Babysitter
4810409405759,2014-08-10,0741 126 889,Asfaltator
7020516315851,1959-05-17,0728 506 600,Sculptor In Lemn
8580821029057,1997-08-11,0234 347 916,Legator De Par
3580215328221,1967-01-15,0242 302 925,Inspector Protectia Mediului
6900822173478,1918-04-29,0261 367 435,Asistent De Cercetare In Filozofie
6340501050465,1979-07-22,0734 058 306,"Pregatitor, Montator, Reparator Ite, Cocleti, Lamele, Spete"
1800826200973,1969-07-21,0248 255 836,Ingrijitor Cladiri
7851221324133,1983-10-13,0721 363 901,Inginer Geolog
3930103128900,1944-11-29,0261 615 691,Consilier Zoolog
1151106061091,1976-07-10,0735 714 278,Asistent De Cercetare In Centrale Nuclearoelectrice
5610911088405,1963-04-11,0741 890 274,Tehnician In Morarit Si Panificatie
3650508208535,1975-03-31,0737 723 240,Confectioner Produse Igienico-Sanitare
5530515195192,1919-12-01,0268 774 933,Comentator Radio Tv
4620127159046,1965-08-08,0236 553 093,Pastator Cutii De Chibrituri
6130402034570,1920-10-01,0252 932 528,Administrator Financiar (Patrimoniu) (Studii Superioare)
4900816434724,1996-01-16,0267 365 580,Conceptor/Conceptor Cao
1760421445393,1943-10-07,0727 211 306,Operator Masuratori Speciale Sonde
8380728241181,2000-12-11,0763 631 883,Camionagiu
1060604525473,2004-09-29,0763 062 509,Bucatar
3000826056923,1956-01-12,0234 754 251,Lutier
7770817520761,1955-07-01,0726 718 420,Consilier Pentru Tineret
4630125094482,1950-08-22,0269 327 080,Critic De Arta
5220904017432,2007-03-26,0738 829 491,Modista
6211220047791,1975-06-23,0765 995 645,Gonaci
2400226124852,2023-06-06,0744 618 849,Asistent De Cercetare In Electromecanica
2550120405092,1910-06-24,0747 274 673,Expert Jurist
4090601430495,1986-07-06,0769 605 271,Asistenta Puericultoare
4040221220822,1927-06-28,0728 548 819,Pastator Cutii De Chibrituri
6840409393121,1935-08-17,0766 128 054,Agent Veterinar
6420514333842,2023-08-06,0240 138 427,Planimetror Sabloane
2760720423766,1995-02-12,0235 242 801,Smantanitor
4190107304853,1962-12-24,0721 159 485,Incadrator Tablouri
2751215418066,1922-11-16,0733 517 802,Coafor Canin
8130121127136,1959-04-30,0269 528 093,Sef Centru Meteo Aeronautic
3100423406621,1957-03-10,0260 205 132,Cantonier
7660326055821,1945-05-09,0738 994 378,Dealer-Sef (Arbitragist Banca)
7320421131381,1929-08-23,0737 178 460,Preparator Faina Din Peste
7870207136031,1970-08-09,0265 538 076,Director Zbor
3780525517925,1932-10-02,0723 491 034,Operator Dana
7771229292621,1944-05-01,0723 808 078,Operator De Interviu
6560424047748,2013-09-14,0254 915 556,Referent Comert Exterior
4601008252753,1976-05-09,0741 655 558,Specialist Incercari Componente Vehicule/Grup Motopropulsor/Optimizare Energetica/Sisteme De Masurare
2131025429333,1950-08-24,0266 996 964,Amc-Ist
3251115448742,1997-04-02,0232 952 105,Conducator Intreprindere Mica 
5170703515663,1914-10-13,0765 281 976,Lacatus Sdv
7560601359283,1970-01-06,0241 438 619,Inspector De Risc
8080522463432,1963-10-14,0268 673 242,Instalator Instalatii Tehnico-Sanitare Si De Gaze
8140608108269,1922-04-08,0755 987 798,Inginer De Cercetare Roboti Industriali
1110329345697,1967-05-06,0755 303 325,Sef Laborator Industria Petroliera
2911128024527,1977-08-23,0728 357 318,Cercetator In Petrochimie Si Carbochimie
8031107287388,1944-11-21,0759 653 046,Cercetator In Petrol (Extractie-Prospectiune)
8980812341272,1912-09-16,0746 713 284,Operator La Prepararea Minereurilor
6711028060319,1951-06-04,0764 639 144,Mecanic Pentru Intretinerea Aparatelor De Lansare La Zbor
5281102510868,1945-06-20,0232 456 452,Purtator De Cuvant
8670924240206,1941-09-06,0769 192 146,Insotitor Vagoane
8800606274298,1953-12-21,0722 617 605,Confectioner Obiecte Din Ipsos
4710118180346,1963-07-17,0735 517 915,Fotopoligraf
4471118287790,1914-02-11,0749 831 446,Preparator La Prepararea Produselor Cosmetice Si De Parfumerie
5171215451904,1981-09-12,0241 227 186,Operator Piuar
5500408250021,2005-02-11,0780 940 686,Tehnician Proiectant Minier
1510302135282,1928-08-25,0745 185 407,Tehnician In Industria Confectiilor Si Tricotajelor
5440329317518,1940-01-22,0248 737 881,Referent De Specialitate Matematician
7951111049333,1942-01-17,0267 411 606,Prelucrator Presa Scrisa
3500126380617,1925-12-04,0257 220 819,Cazangiu Recipiente
4200407151453,1962-09-13,0728 491 391,Inginer De Cercetare In Calculatoare
2300705180312,1970-01-17,0237 884 394,Cardinal
1790904030524,1971-05-10,0247 468 859,Asistent De Cercetare In Electroenergetica
3290214169756,1968-07-27,0236 209 777,Confectioner Ferodouri
8170814151031,1982-05-14,0784 427 105,"Curelar, Confectioner Harnasamente"
8941023182933,1951-05-27,0741 779 475,Supraveghetor Jocuri (Cazino)
7570509420737,1984-08-21,0722 514 260,Confectioner Becuri
1710104161843,2012-04-07,0737 294 594,"Operator Cracare, Deformare Si Fabricare Bitum"
8221129236647,1977-02-08,0770 682 216,Discotecar
3750312202938,1913-05-20,0263 213 785,Coordonator Presa
7361108163521,1941-07-03,0239 589 424,Turnator Valuri
6980704046571,1923-04-11,0734 931 502,Veghetor Incarcare-Descarcare
6181016315233,2022-11-25,0257 858 802,Proiectant Inginer In Zootehnie
6450827043685,1928-07-10,0750 623 837,Estimator Licitatii
5170625013774,2024-03-22,0757 658 769,"Comandant Port, Flota"
7510620353159,1921-02-06,0244 761 180,Florar-Decorator
4651110196710,1996-12-25,0730 066 561,Arhitect Cladiri
6441131302731,1912-10-17,0727 608 976,Profesor In Invatamantul Profesional Si De Maistri
7460704099348,1978-08-09,0763 893 834,Crescator De Animale Mici
8650120249820,2007-09-14,0770 940 489,Vulcanizator De Produse Industriale Din Cauciuc
5090503414125,1945-03-31,0242 261 145,Sondor La Foraj Manual
5851003412798,1991-11-20,0760 048 046,Cuptorar Produse Abrazive
2110602056881,1960-12-16,0742 171 710,Director Adjunct Societate Comerciala
7341106227037,1979-10-07,0266 869 965,Ofiter Control Doping
7761224427184,1945-04-20,0740 808 221,Emailator Firme Si Decoruri
4940926296345,1910-01-01,0731 049 044,Casier Trezorier
5210513445420,1994-06-09,0723 274 948,Tamplar Manual Ajustor Montator
6920205163173,1935-12-22,0233 396 563,Vicepresedinte Organizatie Profesionala Nationala
5220305041995,1992-06-28,0743 345 975,Sef Oficiu De Calcul
5890724413352,1955-03-05,0734 167 215,Inginer Constructor Instalatii
2670226279465,1962-11-22,0237 306 903,Manager Al Organizatiei Culturale
3151105245754,1924-12-02,0744 781 715,Tehnician Resurse Umane
5750820019500,2013-07-23,0785 240 871,Maistru Electrician In Constructii
1990927362525,1944-02-20,0252 439 939,Cizelator
4040425134273,2006-09-20,0754 573 959,Cercetator In Electromecanica
7830310203608,1996-01-26,0786 300 028,Referent Vamal (Studii Medii)
7220717522716,2015-10-18,0751 499 063,Asfaltator
3640102439408,2018-09-07,0758 817 729,Expert Geofizician
3700525373900,1956-02-10,0755 954 430,Decorator Vitrine
7301230182492,1947-05-26,0236 897 582,Conducator Intreprindere Mica 
3750830420720,2024-01-02,0235 413 338,Operator Portuar Expeditor
8340317121652,1958-12-22,0738 601 762,Operator Hidraulic In Alimentarile Cu Apa
6900512398546,1969-08-13,0765 865 673,Bobinator Condensatori Pentru Instalatii Electrice
2630103354217,2014-07-12,0248 128 551,Confectioner Tambur Filigranare
7730725159413,1987-04-20,0762 580 445,Slefuitor-Granulator
3240624307431,2018-05-22,0238 331 456,Expert Inginer Minier
2070617080188,1967-10-30,0772 824 712,Cusator Manusi Piele
2070813386162,1984-03-04,0233 890 327,Asistent De Cercetare In Ecologie Si Protectia Mediului
7771031333217,1932-04-30,0735 013 164,Ipsosar Restaurator Ornamente Din Ipsos
2650405204181,1983-10-12,0241 014 525,Sef Birou Pensii
3510606201891,1978-01-27,0751 392 126,Specialist In Domeniul Proiectarii Asistate Pe Calculator
8750403296481,2001-02-11,0267 966 237,Medic Primar
3580111172362,1923-02-27,0232 605 842,Sef Licitatie
3690808452680,2001-04-08,0267 955 013,Camerista Hotel
6010404184726,2004-07-27,0731 780 443,Sef Laborator Criminalistica
4871224022671,1930-04-03,0253 767 393,Instructor Sportiv
3781225278695,1956-11-03,0254 016 830,Referent De Specialitate Petrochimist
6890930421325,2008-12-24,0255 505 151,Tehnician Laborant Analize Produse Alimentare
7940307271697,1933-05-03,0240 240 526,Inginer De Cercetare In Tehnologia Constructiilor De Masini
7131030077267,1954-03-11,0765 428 013,Operator Responsabil Cu Supravegherea Tehnica A Instalatiilor
1180314242054,1933-08-20,0260 704 639,Copilot
8070316130810,1939-03-24,0766 651 976,Sef Modul In Industria Prelucratoare
5651106233460,1977-01-25,0763 169 300,Emailator Prin Pulverizare
5191016113069,1912-07-26,0722 934 696,Ipsosar Restaurator Ornamente Din Ipsos
6120316099738,2007-07-31,0756 876 041,Agent De Schimb
4771209027351,2002-10-23,0785 749 671,Secretar Dactilograf Laborator Expertize Criminalistice
1160309149222,1954-05-18,0763 723 761,Reporter (Studii Medii)
2150106073876,1967-09-29,0263 738 153,Masinist La Masini Cale Mecanizare Usoara Si Grea
7400820060491,1932-04-24,0751 395 296,Floricultor
8830412468862,1949-03-18,021 751 2005,Organizator Activitate Turism (Studii Medii)
4350726450910,1929-11-05,0250 718 616,Preparator Ferodouri
8660401257999,1937-12-03,0265 624 025,Magaziner
2170111153700,1917-12-16,0257 159 057,Organizator Productie (Studii Superioare)
5130313162832,1920-11-01,0253 956 727,Manager Resurse Umane
4740514096866,1910-04-05,0745 632 940,Consilier Ecolog
6410102374460,1983-12-02,0784 833 873,Director Comercial
5350721365136,2008-01-23,0734 966 739,Reglor Masini-Unelte
6620310402741,1973-09-27,0261 255 112,Reporter (Studii Superioare)
6971017200211,1952-09-19,0253 667 100,Consultant Prezidential Si Guvernamental
3690804201340,1981-12-01,0756 663 087,Mecanic Auto
5750403301636,2022-01-10,0765 387 834,Maestru Corepetitor
1010428196738,1952-01-10,0264 425 900,Expert Tehnic Extrajudiciar
7020317218751,1974-07-06,0255 340 754,Masinist La Umplerea Si Inchiderea Cutiilor De Chibrituri
3130822322653,1925-02-27,0258 072 411,Conductor Arhitect
8950201131351,1974-05-20,0724 817 538,Finisator Electrozi De Sudura
2991227388974,1989-09-11,0736 764 709,Cercetator In Cadastru
6030916127045,1973-02-13,0257 964 761,Programator Productie
5350527462679,1952-09-24,0751 045 451,Coafor
5821125264743,1915-09-05,0253 258 726,Asamblor Biciclete
6760308306694,1916-10-10,0711 092 309,Operator La Tratarea Si Epurarea Apelor Uzate
5590127234680,1946-01-29,0731 438 077,Strungar La Masini De Alezat
8050923458322,1974-05-08,0754 881 389,Stenodactilografa
3711112214577,1925-06-22,0266 144 290,Tehnician Proiectant In Industrializarea Lemnului
3350208256642,1935-07-13,0254 655 640,Lucrator Operativ Pentru Autocontainere
6351203038530,1978-07-14,0245 396 184,Lacatus-Montator Agregate Energetice Si De Transport
2020327253205,1925-10-22,0766 703 957,"Slefuitor, Lustruitor"
1840426390664,1991-06-10,0259 416 711,Preparator Mangal
7080403365771,1973-03-23,0264 571 158,Asistent De Cercetare In Geografie
3780829469991,1999-03-12,0262 084 185,Director Adjunct Institutie Publica
3320907411844,1978-06-03,0763 801 346,"Sef Departament/Compartiment/Presedinte Comisie Organizatie Profesionala, Filiala Judeteana/Municipiu"
2610702070301,2007-02-19,0237 809 353,Desenator
2010606322803,1930-08-23,0251 711 639,"Inginer De Cercetare In Constructii De Cai Ferate, Drumuri Si Poduri"
6730323053774,1944-01-27,0254 205 127,Instructor Logoped
4040527180108,2018-10-07,0766 497 462,Operator La Prepararea Bauturilor Alcoolice Si Racoritoare
8051231395394,1935-02-26,0725 150 354,Laborant Chimist
5320626286766,2004-12-15,0737 146 240,Director De Motel
2720213124678,1955-03-24,0242 626 565,Asistent De Cercetare In Biologie
3960812381049,1983-09-10,0262 447 946,Presator Stuf
6580430128812,1927-02-24,0766 120 285,Mediator
7200625529786,1942-03-07,0234 533 868,Confectioner-Montator Tamplarie Din Aluminiu Si Mase Plastice Cu Geam Termoizolator
7300410394658,1990-10-12,0755 982 262,Editor Rtv (Stiri)
7440218256715,1987-08-13,0769 363 900,"Tehnician Transporturi, Posta Si Telecomunicatii"
6880924204148,2018-01-14,0732 469 450,Meteorolog Aeronautic Prognozist
5010330192690,1953-12-13,0765 930 169,Manager In Activitatea De Turism
8511013423358,1938-08-23,0247 781 579,Finisor Ace Si Accesorii
1080626279222,1980-06-08,0764 681 693,Preparator Benzi Cauciucate Si Compozitii Emplastre
3370708356617,1955-06-17,0254 826 879,Tehnician Meteorolog
6380925511558,1992-12-21,0726 087 608,Navigator Informare
3100710518382,2013-05-19,0246 453 949,Sef Echipa Docheri
5600202149692,1944-04-25,0788 749 550,Asistent Regizor Studio
1641120082270,1981-10-30,0753 152 369,Referent De Specialitate Medic
8910915125756,1945-03-17,0725 963 626,Raportor Ecolog
2590323122053,1979-11-28,0772 435 396,Prinzator Caini
5400122373064,1925-11-09,0243 293 852,Maistru Electromecanic
8000109394165,2018-10-06,0255 239 213,Agent Tranzit
4221003334981,1999-09-14,0733 089 356,Autopsier La Ecarisaj
