first_name,last_name,phone_number,birthdate,address,mac_address,ip_address,job,iban,currency
Julia,Ene,0753 277 524,2008-05-29,"Strada Barbu Nr. 548 Bl. 34  Sc. 93 Ap. 917, Baile Borsa, 738549",42:5c:3a:e0:94:d0,152.92.58.11,Crescator De Animale Mici,RO72HJDT6698004267829731,GMD
Adela,Cristea,0264 442 603,2019-12-28,"Intrarea Felix Eftimie Nr. 93 Bl. 57  Sc. 79 Ap. 342, Moreni, 555111",0f:d0:67:2c:fc:af,25.215.172.219,Sef De Sala Restaurant,RO18SZLD3121183908156520,GBP
Visarion,Toma,0237 370 717,1954-03-16,"Intrarea Toma Nr. 74, Techirghiol, 751152",d4:38:d3:aa:20:5c,171.250.205.92,Consul General,RO02PXOG7189801514883605,XCD
Steluța,Tudor,0757 354 752,1959-09-25,"Bulevardul Barbu, Navodari, 982142",98:40:5c:d3:14:a9,175.0.147.8,Auditor Energetic Pentru Cladiri,RO51XRTN3628934641295096,PLN
Gabriela,Gheorghiu,0265 977 505,1981-08-09,"Aleea Ababei Nr. 800 Bl. 61  Sc. 87 Ap. 235, Rovinari, 735411",e7:05:a4:a3:8b:b9,69.75.60.90,Tehnician Petrolist Chimie Industriala,RO22FNRU5460949341464197,RON
Iulia,Nistor,0760 833 820,1958-05-10,"Drumul Roxelana Ardelean, Dragu-Brad, 337681",af:e7:9f:e6:7a:b4,67.117.131.64,Sinterizator,RO60SPUD7441210166607933,CVE
Saveta,Pușcașu,0236 116 838,1924-03-11,"Soseaua Ionescu, Sangeorgiu de Mures, 484961",cd:e2:e1:2a:ed:02,65.243.30.75,Director Casa Corpului Didactic,RO98YHDE8769364082211518,JMD
Alin,Marin,0239 759 066,1947-03-20,"Strada Maximilian Pop Nr. 79 Bl. 75  Sc. 67 Ap. 310, Valea lui Mihai, 827316",d5:0a:cd:51:1a:a1,209.253.67.142,Pregatitor Suprafete Pentru Lacuit,RO40EQFK7976114222665468,KYD
Ina,Ionescu,0735 617 138,1965-09-06,"Strada Ene Nr. 192 Bl. 27  Sc. 68 Ap. 708, Corund, 407414",07:82:ed:8b:64:fc,56.162.80.50,Incarcator-Descarcator,RO93FING7525608441189926,HRK
Tamara,Stănescu,0733 200 571,1932-01-08,"Soseaua Teodor Dima, Buhusi, 340304",b7:30:22:4c:6b:42,35.70.228.183,Cercetator In Masini Si Echipamente Termice,RO13IGQR0469975616979075,NOK
Ioanina,Barbu,0743 306 786,1939-08-09,"Drumul Miruna Dima, Caracal, 104274",f8:de:86:d6:60:81,81.108.231.38,Analist Piata Muncii,RO75PLVC0313255791696223,BDT
Pătru,Florea,0743 465 714,1988-05-04,"Aleea Diaconu, Cajvana, 819665",3f:b5:02:04:dd:6d,116.222.44.218,Incleietor Placi Aglomerate,RO12YCIO2430601720503741,DZD
Nicuță,Oprea,0736 321 395,1922-06-08,"Strada Preda Nr. 915, Popesti-Leordeni, 153183",bb:81:a0:44:e4:4f,188.121.59.186,Copywriter Publicitate (Studii Medii),RO51UTEU7444118301752665,DKK
Ieremia,Mocanu,0268 142 966,1991-01-06,"Strada Suciu Nr. 243 Bl. 81  Sc. 46 Ap. 678, Jilava, 436392",d7:19:80:f3:20:0a,131.126.237.189,"Medic-Sef (Policlinica, Statie De Salvare, Centru De Recoltare Sange)",RO51ECNS3085008450329544,CLP
Dominic,Toma,0738 148 304,1954-04-07,"Drumul Cristian Dumitrescu Nr. 698 Bl. 63  Sc. 57 Ap. 978, Slobozia, 469433",fd:d1:cb:4f:2a:ed,141.224.36.188,Referent De Specialitate Geofizician,RO05IHUO3270812183306363,LAK
Florina,Dima,0746 809 393,1929-01-06,"Strada Florea, Ploiesti, 900640",f0:55:68:27:19:20,124.23.102.79,Inginer Nave,RO74SDLN0357722338346761,SRD
Barbu,Marin,0737 699 520,1912-09-23,"Intrarea Răzvan Stănescu Nr. 66 Bl. 16  Sc. 26 Ap. 336, Voluntari, 218342",c3:cd:d3:c4:28:9e,211.48.78.198,Proiectant Inginer Constructii,RO51AWSQ6506804189008950,ANG
Cristina,Mocanu,0741 104 068,1976-07-06,"Intrarea Stănescu Nr. 363 Bl. 45  Sc. 86 Ap. 577, Targu Jiu, 190764",06:30:b9:b3:ac:f6,47.137.181.137,"Ajutor Maistru Tesator, Tricoter",RO67VXWU5521265481335357,HUF
Daiana,Stoica,0735 385 281,1994-02-14,"Intrarea Aurica Diaconescu Nr. 673, Dumbraveni, 582897",fe:1e:88:44:39:17,197.241.84.98,Registrator Carte Funciara,RO32AJED7577810909620912,FJD
Răducu,Mazilescu,0745 195 531,1948-01-19,"Strada Stoica Nr. 239, Mizil, 339176",a1:14:a9:85:1f:b2,104.191.133.146,Inspector Scolar Pentru Invatamant Particular Si Lternative Educationale,RO60FOSL3979641937297405,PYG
Nicodim,Dinu,021 296 1583,1942-09-07,"Soseaua Mazilescu, Falticeni, 760537",34:b2:00:5a:54:da,146.44.64.159,Stilist Protezist De Unghii,RO43ZMXP6638837064977282,IRR
Felicia,Aanei,0736 099 833,1951-11-12,"Strada Marin Nemeș, Roman, 199782",28:9a:98:40:80:eb,53.25.193.212,Inginer De Cercetare In Tehnologia Compusilor Macromoleculari,RO40POPK8272712002567842,WST
Voicu,Mocanu,0251 900 063,1923-10-29,"Intrarea Suciu Nr. 678, Ovidiu, 888547",da:0b:00:47:6b:f4,4.192.168.166,Expert Centre De Perfectionare,RO28SCIC4780681294727854,JOD
Crenguța,Tudor,0263 585 496,1917-12-13,"Bulevardul Stana Manole, Darmanesti, 821098",22:c4:aa:9f:9f:3a,16.173.90.98,Tehnician Laborant Pentru Lucrari De Drumuri Si Poduri,RO17NMLX1934451631154240,TTD
Rodica,Mocanu,0259 710 627,1970-09-01,"Aleea Iolanda Mocanu Nr. 720 Bl. 93  Sc. 50 Ap. 691, Valea Caselor (Dragasani), 731627",1b:4d:04:aa:74:ac,172.168.44.232,Sef Proiect Banca,RO60YYBF7544257062649664,HKD
Fabiana,Diaconescu,0248 136 287,1942-04-06,"Intrarea Ilie Cristea Nr. 512 Bl. 93  Sc. 81 Ap. 773, Petrosani, 847782",dd:27:c4:04:2c:0a,59.153.31.218,Zidar Samotor,RO19CHAJ6433903992566711,BMD
Rebeca,Eftimie,0743 527 206,1938-07-27,"Soseaua Georgescu Nr. 357, Tufesti, 572929",75:cf:fd:98:f9:89,150.69.144.42,Inginer De Cercetare In Tehnologia Substantelor Organice,RO87GFRI0188688235434019,PEN
Catrinel,Preda,0760 863 618,2013-11-05,"Aleea Stan Nr. 373, Homocea, 314961",60:ce:75:b9:ee:5e,75.167.169.140,Referent De Specialitate Bacteriolog,RO86VMIS3949356314678618,THB
Carolina,Tabacu,0759 852 465,1944-03-08,"Drumul Ene Nr. 325, Sebes, 113120",e7:9c:82:82:ed:d5,139.18.209.179,Asistent De Cercetare In Arhitectura,RO27LBNP4211389887791140,ERN
Alistar,Eftimie,0231 536 175,1942-06-23,"Soseaua Elena Stănescu, Motru, 391302",12:36:45:e8:a9:af,63.148.197.168,Animator Centre De Vacanta,RO44ULYY9519520564271517,LYD
Heracleea,Gheorghiu,0745 768 818,1997-02-15,"Aleea Dochia Dumitrescu Nr. 851 Bl. 21  Sc. 52 Ap. 783, Stei, 942312",d9:65:7f:b8:e2:a2,49.56.229.120,Inspector De Stat Sef,RO61INFB3149498585331748,KHR
Stela,Nemeș,0242 450 540,1909-01-25,"Intrarea Popescu Nr. 59 Bl. 62  Sc. 82 Ap. 283, Savinesti (Poiana Teiului), 199029",e6:63:bb:d0:56:0c,203.32.253.208,Consilier Al Ministrului,RO67WRKJ1121961883786163,BND
Lucențiu,Dobre,0761 876 042,1952-08-31,"Drumul Dorel Diaconescu Nr. 85 Bl. 15  Sc. 50 Ap. 141, Baia, 963388",66:8f:32:9f:7f:6d,74.43.180.69,Taietor Manual Lemn De Foc,RO34EWSJ1552717811751055,KZT
Dorian,Oprea,0752 658 971,2016-03-04,"Intrarea Mocanu, Medias, 330266",a3:05:af:d6:a6:9d,222.112.157.46,Sef Sectie Inventar,RO80OFBR6281476515698326,TWD
Daniela,Cristea,0724 860 483,1958-01-11,"Aleea Noemi Oprea, Moisei, 549070",7f:72:15:6e:d6:28,162.203.141.177,Maistru Petrolist/Industria Chimica,RO48NBMP8890686768308048,IMP
Simona,Voinea,0765 851 136,2008-11-12,"Strada Stancu Nr. 79, Campulung, 625719",25:c5:a5:07:0a:df,101.32.60.209,Docher-Mecanizator,RO31MMBJ9473070665547457,NIO
Eftimia,Preda,0733 197 145,1925-03-23,"Strada Preda Nr. 858 Bl. 17  Sc. 23 Ap. 832, Homocea, 518882",ba:cc:bc:1c:71:d1,8.225.138.72,Operator Xerox,RO65NEIF9661395411790875,NZD
Niculina,Stoica,0769 328 754,1986-12-05,"Bulevardul Ancuța Stoica Nr. 46, Savinesti, 300443",1a:49:8a:29:1f:75,72.153.86.84,Vulcanizator La Autoclava,RO77HAEB8629350886238079,MOP
Dominic,Ionescu,0234 435 925,1985-12-09,"Strada Dobre Nr. 38 Bl. 35  Sc. 72 Ap. 437, Agnita, 680866",fa:11:19:e3:90:67,8.88.21.209,Operator La Fabricarea Produselor Congelate De Patiserie Si Panificatie,RO67FALU2863351998372176,SCR
Ruxandra,Mazilescu,0266 513 173,2011-01-27,"Intrarea Diaconescu Nr. 797 Bl. 98  Sc. 35 Ap. 290, Moinesti, 377436",65:c6:4d:5a:b4:03,24.32.253.144,Referent De Specialitate Geolog,RO87HSWX1672365116189014,TJS
Doriana,Barbu,0731 055 119,1932-11-25,"Bulevardul Voinea, Sandominic, 260548",b5:87:8d:ef:26:d2,71.180.177.184,Sudor Cu Arc Electric Acoperit Sub Strat De Flux,RO31EDEA5811082242993754,SBD
Flaviu,Aanei,0243 651 117,2010-04-26,"Bulevardul Preda Nr. 885, Sighetu Marmatiei, 466682",f3:ee:2e:bf:ea:4d,7.6.151.57,Grafician Calculator (Studii Medii),RO06SPCC1292808117387529,AMD
Severin,Pop,0240 719 810,2003-04-27,"Aleea Angela Cristea Nr. 921 Bl. 69  Sc. 73 Ap. 741, Deta, 863815",38:81:a8:c6:72:1c,16.60.133.7,Impregnator Produse Din Cauciuc,RO16WJEN8239213620394162,BMD
Aureliana,Toma,0246 395 789,1976-01-06,"Intrarea Niță Nr. 99 Bl. 91  Sc. 65 Ap. 776, Curcani, 163918",3e:b7:e1:7d:06:fb,6.170.125.12,Verificator Canale Subterane,RO48LXNB7822190363687133,TZS
Artemisa,Ene,0267 288 719,1999-10-24,"Drumul Ardelean Nr. 45, Maieru, 865468",90:81:4b:ee:bc:72,106.29.174.219,Fierbator-Uscator De Par,RO54KXED3988496820682084,VUV
Mioara,Suciu,0753 262 743,2011-05-12,"Bulevardul Preda Nr. 338, Babeni, 842144",5e:2f:de:98:5c:ca,143.127.19.57,Expert Evaluator De Bunuri Mobile,RO53QOZJ5354895715305196,PYG
Iuliana,Suciu,0728 887 243,1996-10-10,"Soseaua Stancu, Mizil, 679456",a4:6b:83:dd:df:91,50.184.91.130,Consilier De Justitie,RO86PLWV4693876756307955,SVC
Măriuca,Florea,0238 998 228,1959-04-26,"Bulevardul Diaconescu Nr. 909, Harsova, 183911",68:0e:d4:d5:64:36,118.178.214.204,Consilier Administratia Publica,RO21ETXZ4517716354527282,CHF
Zamfir,Nistor,0733 323 131,1969-07-09,"Soseaua Crina Stoica Nr. 46 Bl. 30  Sc. 71 Ap. 284, Stei, 279774",9c:38:51:5a:62:e9,8.113.177.192,Translator Emisie,RO85OUKB6396915568570853,HKD
Ortansa,Dobre,0769 143 180,1929-06-30,"Strada Barbu Nr. 149 Bl. 11  Sc. 35 Ap. 809, Cajvana, 858746",33:12:e6:ae:36:0f,105.237.16.193,Ghid Turism Ecvestru,RO51AUGT4146459983672043,CUC
Filofteia,Dinu,0720 612 981,1930-12-11,"Soseaua Nemeș Nr. 822 Bl. 96  Sc. 38 Ap. 205, Stei, 825916",33:08:25:5e:b6:58,128.78.81.16,Distilator La Prepararea Carbunelui,RO46SYID4066380103641444,JEP
Olimpian,Dochioiu,0729 668 722,1992-01-07,"Strada Stoica Nr. 56, Podu Iloaiei, 429744",18:75:9d:be:26:a6,147.237.140.122,Asistent De Cercetare Economist In Economia Generala,RO29YKRV7209754597381065,KPW
Margareta,Ene,0743 347 354,1930-12-22,"Intrarea Matilda Eftimie, Magurele, 362488",11:26:cb:3f:4a:0b,148.89.122.70,Intermediarist Film Desene Animate (Studii Medii),RO45MVXG4488695531903561,ZWD
Otilia,Nistor,0235 565 046,1990-01-18,"Drumul Dobre, Bosanci, 867056",84:1b:0d:8b:85:36,51.72.193.93,Realizator Emisiuni Rtv,RO33JGCQ4065332704178902,AWG
Mitruț,Ardelean,0742 536 600,1973-01-30,"Intrarea Tudor Dinu, Vicovu de Jos, 512493",35:21:a4:07:32:de,221.213.95.35,Telexist,RO80QAWH8362546530391028,AMD
Dariana,Barbu,0242 988 667,1994-10-07,"Drumul Cristea, Ludus, 831940",b6:b4:04:3a:37:5f,60.247.55.213,Masinist La Confectionarea Ambalajelor Metalice,RO63QWDR8982153602265390,GTQ
Ciprian,Pop,0746 485 076,2018-12-03,"Bulevardul Dima Nr. 77, Curtici, 649847",a6:53:b9:94:e9:b6,61.150.37.233,Documentarist (Studii Superioare),RO27DIZA3813213476662190,HUF
Olimpiu,Stoica,0722 158 117,1971-07-14,"Soseaua Dima, Saveni, 121656",92:aa:88:46:de:2a,163.244.41.7,Director Restaurant,RO97JZUI1756683478659489,TTD
Julia,Cristea,0761 278 888,1926-09-29,"Intrarea Stancu, Satu Mare, 465977",a1:95:d8:da:71:9f,20.72.117.168,Ajutor Sef Brigada In Constructii,RO85PCTT0294166828579588,CUC
Semenica,Diaconu,0771 132 050,1989-03-12,"Drumul Nistor Nr. 51, Fetesti-Gara, 916738",c5:aa:35:58:88:1e,83.234.110.138,Provicar,RO07XJTC4503773795682296,USD
Isabela,Eftimie,0727 961 009,2013-11-01,"Bulevardul Dinu, Sannicolau Mare, 306905",bf:9b:1a:13:f4:d8,146.221.91.120,Legator De Sarcina,RO17DEZM9977731719739176,ISK
Natalia,Ababei,0741 304 401,1920-05-29,"Intrarea Georgescu, Darmanesti, 668455",df:15:a8:69:5b:9a,152.231.101.57,Operator La Fabricarea Produselor Abrazive,RO71MPTJ8435470740222000,QAR
Elodia,Ioniță,0711 001 309,1930-03-15,"Intrarea Florea, Vicovu de Sus, 674901",68:78:29:0c:f8:d6,23.251.229.110,Asistent De Cercetare In Instalatii Si Utilaje Pentru Transportul Si Depozitarea Produselor Petroliere,RO76RLQH6640712027809696,IQD
Lucrețiu,Albu,0750 635 307,1937-09-02,"Intrarea Nistor Nr. 74 Bl. 60  Sc. 61 Ap. 766, Oituz, 268356",ce:85:0d:71:8e:0c,146.36.201.7,Matisor Cabluri,RO97JUXI2979546700524157,GTQ
Fiodor,Ioniță,0723 848 894,1912-05-11,"Strada Ene, Sinaia, 913531",50:1d:a9:81:a9:50,130.115.212.75,Cercetator In Meteorologie,RO55PBZY2536405823302126,ZMW
Vasilică,Tomescu,0260 473 838,1990-03-11,"Soseaua Tabacu Nr. 857, Mihail Kogalniceanu, 183671",61:98:dc:ac:96:92,77.162.65.209,Igienist,RO27ERHF0860893298801448,TWD
Georgia,Eftimie,0234 713 117,2001-03-20,"Soseaua Voinea Nr. 26 Bl. 69  Sc. 18 Ap. 516, Targu Secuiesc, 351733",57:da:ed:bb:06:6e,197.193.42.241,Auditor Intern In Sectorul Public,RO91QLTR6000456330208744,BBD
Stancu,Mocanu,0734 164 181,2014-10-01,"Intrarea Ababei Nr. 53, Baia Mare, 262914",c3:8d:cb:ec:18:7b,54.247.20.169,Secretar General,RO57ZAQR1894845201700929,ZAR
Crenguța,Suciu,0263 305 948,2004-04-14,"Drumul Diaconescu Nr. 32 Bl. 97  Sc. 83 Ap. 458, Slatina, 485323",ae:da:5f:f7:77:b4,125.157.153.59,Dansator,RO34UQFX5084205163551874,ZWD
Emanuil,Ioniță,0748 487 650,1953-08-16,"Soseaua Niță Nr. 657, Targu Jiu, 573074",c8:93:7a:58:d2:60,30.12.228.152,Tehnician Tehnolog Mecanic,RO87LWZP2610481710961504,PEN
Romeo,Mocanu,0259 567 211,2012-12-19,"Drumul Aanei Nr. 139, Suceava, 108567",69:2a:ac:1e:58:c4,91.155.196.112,Cuptorar Lianti,RO86YRUD4358960269393829,RWF
Eva,Cristea,0265 275 716,1919-12-05,"Strada Aanei Nr. 103, Jibou, 104616",8e:12:96:6c:db:9f,152.144.141.133,Lacatus-Montator Agregate Energetice Si De Transport,RO68MQIR4864725438764054,CHF
Visarion,Stan,0249 225 159,1982-01-29,"Soseaua Dumitrescu Nr. 414, Feldru, 135187",73:68:98:19:95:19,207.236.44.218,Agent Postal,RO03KHEE2682650135982663,MDL
Gina,Mazilescu,0751 048 485,2008-12-10,"Aleea Zeno Pușcașu Nr. 41 Bl. 45  Sc. 69 Ap. 403, Mogosoaia, 362984",53:ee:5d:88:d9:67,146.132.29.207,"Uscator, Aburitor Material Lemnos",RO41IWYE2521298972030920,XCD
Beniamin,Niță,0784 789 498,1936-04-17,"Bulevardul Ștefana Niță, Tandarei, 593799",56:48:31:3d:e1:8d,81.207.246.22,Producator De Fire Si Fibre Sintetice,RO51HGRK2210810656277284,DOP
Ilarie,Manole,0785 283 971,1914-07-11,"Soseaua Ioniță Nr. 70, Techirghiol, 715020",c6:d7:20:62:21:02,177.67.42.143,Lacatus-Montator,RO88ZLTY5862869538395007,ERN
Stan,Dinu,0743 550 110,1992-12-23,"Drumul Diaconescu Nr. 135 Bl. 42  Sc. 36 Ap. 232, Borcea, 800664",9f:de:49:ac:84:2d,134.0.218.154,Interpret Relatii Diplomatice,RO72RQPR7199566387038190,ISK
Mihai,Ardelean,0763 786 753,1950-01-06,"Bulevardul Ababei, Cudalbi, 147179",8a:a0:fd:eb:53:88,45.140.69.139,Sef Departament Logistica,RO34HQUI1939921229785835,SYP
Gianina,Tabacu,0724 811 982,1991-12-01,"Drumul Eftimie Nr. 54 Bl. 80  Sc. 44 Ap. 974, Lunca Cetatuii, 748145",3a:f0:e5:e9:22:cb,175.43.130.201,Inginer Iluminare,RO17GTSR8242656499714928,IQD
Paraschiva,Tomescu,0267 887 564,1968-05-02,"Bulevardul Petre Dobre, Remetea, 495069",2e:86:05:fe:2f:e8,81.115.223.65,Trasator Optic,RO30FVUK0189086397187946,SYP
Elisaveta,Toma,0266 396 183,2011-11-01,"Soseaua Georgescu, Darabani, 995927",f0:88:1f:c1:87:2d,105.93.90.0,Rotar Caretas,RO42FPUF4340188888025216,VND
Iancu,Diaconu,0267 129 398,1943-11-20,"Drumul Diaconu Nr. 363, Seini, 807230",85:6b:24:36:ad:87,222.52.45.62,Modelier Naval,RO11IYTT8373234381244563,KPW
Valeriu,Stan,0244 833 560,2021-09-04,"Strada Preda, Agnita, 686312",5e:57:a7:38:ed:f6,144.122.126.124,Sef Formatie Sisteme Radiante (Antene),RO25JBJF3481166191967984,USD
Raluca,Manole,0750 460 566,1938-10-09,"Intrarea Dima, Ludus, 563710",ec:56:14:f8:54:0b,9.226.243.162,Sef Oficiu De Calcul,RO08LQIB9601228952162848,SDG
Frederic,Dumitrescu,0721 540 175,1984-08-08,"Drumul Valeriu Stănescu, Moldova Veche, 819585",82:1f:3e:54:ec:c7,109.128.99.201,Scafandru Greu,RO90EANL1545383051601258,TMT
Andra,Ababei,0765 421 260,1971-03-15,"Bulevardul Dima Nr. 16, Segarcea, 884807",e6:81:cc:39:31:bb,6.252.18.2,Sef Agentie Cec,RO79ITFQ9523824127077046,XPF
Călin,Eftimie,0745 076 643,2020-06-29,"Strada Jenel Dobre Nr. 31 Bl. 21  Sc. 56 Ap. 362, Sfantu Gheorghe, 473286",50:26:bb:fb:16:b5,197.132.23.47,Lacatus Sdv,RO54EKNO3259730422927550,GGP
Albert,Pop,0742 380 682,1975-09-22,"Drumul Stănescu Nr. 98 Bl. 10  Sc. 22 Ap. 873, Targu Mures, 572718",2c:3e:71:0c:a0:c8,111.83.54.78,"Ajutor Maistru Tesator, Tricoter",RO28AAUU1926116221574606,YER
Valentina,Popa,0727 945 723,2018-10-22,"Soseaua Oprea, Moreni, 990918",04:e7:41:85:e7:9c,9.193.133.187,Reprezentant Medical,RO36CPZG8090608259577877,XPF
Eftimia,Ardelean,0268 741 306,1992-06-06,"Bulevardul Florea, Vulcan, 920682",d2:0f:6f:94:33:39,203.98.110.88,Tehnician Pret De Revenire/Costuri,RO69MALG8062976022908438,KGS
George,Ardelean,0743 615 901,1946-11-02,"Bulevardul Geanina Stancu Nr. 12 Bl. 75  Sc. 54 Ap. 756, Strejnicu, 882390",86:18:e1:8f:f4:a7,154.180.29.56,Sef Tura Telecomunicatii Aeronautice Aviatie Civila,RO03LTLL3519542966183278,NOK
Zeno,Stancu,0243 074 602,1946-02-11,"Soseaua Diaconu Nr. 62, Beclean, 622191",9e:14:24:d2:2e:83,6.67.196.134,Pilot Receptie Si Control Aeronave,RO96RULA8779204025608772,TMT
Jean,Stan,0743 029 309,2018-05-20,"Drumul Tomescu Nr. 79, Dobroesti, 812332",87:7f:13:f5:da:85,119.61.201.147,"Sef Centru Dezinfectie, Deratizare Si Dezinsectie",RO95ATHQ5236486746507651,AOA
Mărioara,Dobre,0768 905 658,1908-05-16,"Soseaua Rebeca Gheorghiu Nr. 97, Berceni, 123122",5a:3a:eb:4e:34:f8,145.222.12.161,Pregnator Prize Tehnice Si Banda Izolatoare,RO38JTXH2117337352116543,AOA
Gherghina,Georgescu,0764 232 154,1959-02-19,"Soseaua Ardelean Nr. 31 Bl. 49  Sc. 66 Ap. 746, Cobadin, 688704",0a:c0:24:86:d0:0b,53.198.37.181,Asistent De Cercetare In Arte Plastice ,RO67QTDE2347475681473074,KPW
Iuliu,Diaconescu,0251 153 639,1916-05-31,"Soseaua Alexe Dumitrescu Nr. 474 Bl. 92  Sc. 48 Ap. 675, Babeni, 117592",b5:be:2f:76:84:97,43.57.136.194,Director Disco-Bar,RO11ZDHK4266382015751019,PYG
Vlaicu,Dinu,0724 445 718,2000-12-20,"Strada Ioniță, Jimbolia, 178924",7d:43:0a:42:c9:0b,162.10.228.97,Revizor Bilete,RO35YIZA5047436893282899,ETB
Stanca,Suciu,0263 106 613,1952-05-04,"Strada Aurelia Ionescu Nr. 426, Glina, 761859",57:01:26:8d:04:c6,3.112.123.25,Ministru Plenipotentiar,RO59IGCM1169368836760263,GYD
Narcisa,Dinu,0247 977 333,1970-01-19,"Drumul Manole Nr. 65, Targu Neamt, 722242",f0:dc:9a:6e:42:ac,211.61.1.125,Inspector De Trafic A.R.R. (Studii Medii),RO34BCQH8823201405518534,BHD
Paul,Ababei,0262 349 315,2018-12-21,"Strada Gheorghiu, Sebis, 879949",38:ce:d7:e9:d1:3f,113.244.35.127,Dispecer Operatiuni De Zbor,RO67VPPN4892084370440843,IDR
Eugenia,Dima,0772 418 220,2000-06-01,"Intrarea Tomescu Nr. 565, Peretu, 857366",04:22:fb:b1:c3:dc,117.171.52.141,Designer Vestimentar,RO28SHKD8195765929570933,CAD
Ilie,Stancu,0759 224 020,1977-06-29,"Drumul Popescu, Buftea, 546539",d9:91:98:28:f5:10,69.186.253.108,Confectioner Plase Pescaresti,RO02DIUO3207721420015702,FJD
Patricia,Stancu,0261 679 536,2016-11-01,"Soseaua Dragoș Stoica Nr. 89 Bl. 79  Sc. 51 Ap. 219, Dobroesti, 149281",e7:a8:ef:c2:ac:e3,85.158.120.192,Impletitor Din Panglica Impletita,RO32QGHZ8217003201659359,WST
Crenguța,Nistor,0253 205 465,2011-11-29,"Bulevardul Măriuca Popa Nr. 37, Mioveni, 899286",49:b0:8f:35:d0:af,200.101.110.51,Sef Tura Servicii Securitate,RO68RSWA9343494439961561,LAK
Dumitru,Albu,0784 191 132,1917-11-17,"Bulevardul Suciu, Darabani, 412764",e4:cb:4b:8c:1d:13,82.222.130.160,Vopsitor Imbracaminte Din Blana,RO62DFBZ9250832846330961,MDL
Renata,Ardelean,0242 551 007,1970-08-03,"Soseaua Ardelean Nr. 76, Seini, 994443",07:75:74:99:ee:31,90.90.82.250,Pastor,RO74IFER9111053451571666,BHD
Silvia,Cristea,0252 429 919,1993-04-22,"Drumul Paulica Diaconu Nr. 577 Bl. 85  Sc. 54 Ap. 599, Campulung, 803135",ef:ec:87:3d:8f:be,93.181.12.135,Operator La Confectionarea Industriala A Manusilor Din Piele,RO35TEJT7415313187278810,USD
Ana,Popescu,0246 586 529,1966-08-31,"Drumul Tudor, Seini, 167926",89:5e:d1:fe:d5:a5,68.171.7.56,Pregatitor Paste Chimice,RO67OVIO9052367105691521,KGS
Lorelei,Stancu,0237 402 647,1919-07-26,"Bulevardul Florea Nr. 924, Intorsura Buzaului, 806040",8c:76:5f:5f:30:a6,186.242.178.203,"Subinginer Constructii Civile, Industriale Si Agricole",RO07UATF1037684878556906,ANG
Camil,Florea,0232 032 679,2000-06-04,"Intrarea Stoica Nr. 46 Bl. 86  Sc. 51 Ap. 879, Valea Mare (Babeni), 142545",97:91:88:95:bd:d0,182.216.206.239,Lucrator La Amenajarea Terenurilor Sportive (Amenajator Baza Sportiva),RO36GGEB2261207834255871,PKR
Paraschiva,Ionescu,0757 967 196,1912-09-16,"Soseaua Niță Nr. 507, Maieru, 717870",59:7e:40:1b:08:a7,204.202.37.190,Cercetator In Horticultura,RO47RMUS6906885975340827,UAH
Teea,Nemeș,0749 091 400,1922-01-28,"Bulevardul Aanei, Jimbolia, 942121",7d:69:07:74:9b:90,30.72.238.32,"Conducator De Pensiune Turistica (Rurala, Agroturistica, Montana)",RO36YIOB5438636081461247,TND
Cornel,Voinea,0262 615 423,1996-12-28,"Bulevardul Nemeș, Otopeni, 534483",e5:77:df:08:23:ba,212.59.61.125,Tehnician Instalatii De Bord (Avion),RO47CIIC1210436355478291,SGD
Octavian,Preda,0245 871 990,1974-09-08,"Intrarea Voichița Marin Nr. 681 Bl. 17  Sc. 77 Ap. 703, Plosca, 277856",ea:b8:bb:fe:23:8b,105.42.176.7,Magistrat Consultant,RO04TFQH9141126764625633,BMD
Victor,Stoica,0740 558 868,1943-10-30,"Bulevardul Paulica Ionescu Nr. 54, Rucar, 153008",80:64:f0:bd:fd:f1,209.187.57.89,Dispecer Operatiuni De Zbor,RO69JSPG4793730888276365,UGX
Violeta,Toma,0241 281 632,1970-10-07,"Soseaua Ionel Popa Nr. 717, Iasi, 528977",c9:58:e7:ad:0a:7e,52.3.226.214,Secretar General Asociatie Nationala Cooperatista,RO33MSSE6686397524664336,ETB
Aneta,Ene,0736 578 027,1972-10-26,"Strada Barbu Nr. 454, Covasna, 765402",54:5d:fc:39:a9:58,133.29.188.105,Tehnician Petrolist Chimie Industriala,RO28OYND3915175573798259,GBP
Amelia,Pușcașu,0752 023 164,1986-07-13,"Drumul Oprea Nr. 17 Bl. 77  Sc. 97 Ap. 419, Husi, 905217",a0:8c:14:20:e0:32,44.104.61.221,Confectioner Gamalii Chibrituri,RO34EAQO5681756721359488,XDR
Luca,Voinea,0732 318 017,1908-09-22,"Bulevardul Georgescu, Domnesti, 951558",71:22:e0:a4:e7:4f,136.138.232.149,Hatip,RO55QLPM4369959403824271,SDG
Giorgian,Tomescu,0785 589 933,1971-01-14,"Aleea Ababei Nr. 551 Bl. 58  Sc. 76 Ap. 832, Targoviste, 442795",8d:69:6b:79:de:b0,20.85.187.57,Operator Fierbator Textile,RO52NJPZ3238107750483856,SYP
Codrina,Ene,0742 485 642,2016-12-24,"Aleea Tomescu Nr. 73 Bl. 95  Sc. 21 Ap. 985, Cumpana, 531677",35:61:85:e0:02:de,155.222.245.236,Trolist,RO86VZCV4514767636538538,KWD
